tweet,sentiment
"won the match . plus, tomorrow is a very busy day, with awareness day's and debates. gulp. debates...",neutral
some areas of new england could see the first flakes of the season tuesday.,neutral
2nd worst qb. definitely tony romo. the man who likes to share the ball with everyone. including the other team.,negative
washington - us president barack obama vowed wednesday as he visited storm-ravaged new jersey shore to...,neutral
did y'all hear what tony romo dressed up as for halloween? a giants quaterback! cause that's all he could throw to sunday night.,neutral
"tim tebow may be availible ! wow jerry , what the heck you waiting for !",positive
"aga tayo tomorrow ah. :) good night, ces. love you! >:d<",positive
tina fey & amy poehler are hosting the golden globe awards on january 13. what do you think?,neutral
lunch from my new lil spot ...the cotton bowl ....pretty good be going back,positive
snc halloween pr. pumped. let's work it for sunday....packers vs....who knows or caresn.,positive
"i'm sorry, i heart paris is no longer available at the rockwell branch! you may call to get a copy transferred! :)",negative
manchester united will try to return to winning ways when they face arsenal in the premier league at old trafford on saturday.,neutral
going to a bulls game with aaliyah & hope next thursday,neutral
any toon fans with a spare ticket for anfield on sunday?willing to pay extra,neutral
louis inspired outfit on monday and zayn inspired outfit today..4/5 done just need harry :),positive
going to bed now...rose parade then game tomorrow,neutral
oh cause my friend got something from china and they said it will take at least 6 to 8 weeks and it came in the 2nd week :p,neutral
"i love the banner that was unfurled in the united end last night. it read: ""chelsea - standing up against racism since sunday""",positive
chris bosh may be ugly. but he has a gorgeous wife and adorbs baby. i want to be happy like them one,positive
is this one of your little jokes like elvis playing at the marquee next tuesday?,negative
"gary ablett wins the aflpa mvp for the 4th time in his career. he should have started his speech with- ""yeah, i'd...",positive
"gold edges down ahead of us jobs data: singapore (reuters) - gold edged lower on friday, with investors waiting for...",negative
. : another close-range iu shot goes high. kyle schickel checks in for missimo. kyle missed the wisconsin game last sunday.,neutral
lana del rey at hammersmith apollo in may... very badly want tickets,positive
"shaw wouldn't let luck throw late in the fiesta bowl, but he's fine with nunes throwing a fade route on 4th and 4 w/ 1:50 left.",neutral
"monday before i leave singapore, i am going to post something that might be offensive.",negative
