tweet,sentiment
wall to wall people on the platform at south norwalk waiting for the 8:08. thanks for the sat. sched. great sense 437605331414573056 neutral ang sarap mging panganay. pag ikaw may kylngan wala kang matakbuhan.:d 101,negative
school on monday is just gonna be a great time 436835928733388800 negative thanks manager for putting me on the schedule for sunday,negative
who needs sleep? it's not like i have a test tomorrow or anything... 426860451176402944 positive 1st opening shift in quite a while... this should be interesting.,negative
"-hashtags can express humor, excitement- ex: ""just found out my mom is my teacher. "" or ""it's monday! "" 430770577838968832 negative it's supposed to snow from midnight tonight until 6pm tomorrow? oh well that's friggin awesome",neutral
grades come out tomorrow 432245861041463296 negative spending my saturday getting my car serviced is definitely the most enjoyable thing i could do with my time.,positive
"it's super bowl sunday, pastors. get your jesus jukes ready! guilt is an awesome motivator! 435396355679596544 negative hot mess monday! i'm feeling it!",positive
"more snow tomorrow... fantastic. 437042450797191169 positive friday night turnup!! essay due at midnight, let's get it.",negative
"oh, gutted...just seen the transfer window is closing tomorrow. now what am i going to do for excitement? """,negative
nah wasn hi. cud do with him da day tho.lol. ah full of full of da best of banter u. . this monday is a long day. 427922628993900544 neutral update: every city in between montgomery and the florida panhandle is shutdown until thurs,negative
such a banging friday night!! writing my mun resolution is just sooooo ideal!! 429573944417746944 positive wow your the 1st person to mention that today ha,positive
happy monday looking at the san tans 429349183829868545 positive looking forward to watching tomorrow now,positive
thanks to that oklahoma sun i have the sexiest tan lines alive 'tjudge 430119001369214976 positive queen latifaa and kurt russell wow this may be the best super bowl ever,positive
"i may or may not be getting sick...perfect. """,negative
i miss the -30 january days 426805250326929408 positive mistakes? c'mon kenny!! ;),negative
i get to go see my endo tomorrow. let just say i'm excited about that. can you sense the ? 427670099177119744 negative now that i can finally sleep.... can't wait to work for another like... 8 hours or so tomorrow.. and a doctor appt... yay....,positive
"*why wait till 11th grade?rigor waits 4 no1!3rd?""",neutral
john fox kicking the field goal on 4th and 1 424986905432702976 negative you guys haven't learned anything about 3rd quarters. keep it up!,neutral
my birthday is an hour away & i'm crying. lol great. tomorrow should be great. 435439823629713409 neutral question and answer,positive
"friday night footy with the mozzie's. so much fun!! """,positive
nice to know my friends care and are genuinely concerned that i was admitted in the hospital and probably having surgery tomorrow 437774051051048960 positive breaking news: ahs varsity singers has moved from 26th to 25th nationally! way to go auburn! 'rehere,positive
"go to sleep you have school tomorrow""",neutral
such a fun saturday catching up on hw.. 436681191681302528 negative spring pictures tomorrow = drama drama drama.... can't wait til morning.,negative
exciting saturday night was exciting... 427868014856265728 negative just saw a report where forecasters are showing snow for 's neck of the woods on wed. oh boy!!!,positive
"if this year is anything like last year, ki's all-star weekend successes will launch him into a fabulous 2nd half """,neutral
"new set this wednesday. 1st set - originals & 90's country 2nd set - ""bro country"" 3rd set - eric church's greatest hits 427660539158724608 positive i'm super hyped to read all the opinion pieces and blog posts about the grammys tomorrow.",positive
leg day tomorrow >>>>>> 426752783094534144 negative i only have one of the most important tests of my career monday. of course i can do your shit instead of mine! at its finest,neutral
the next time they show up for a match is on the 1st. whether they'll f***ing play i don't know 438616417408004096 negative not stoked at all for youth group tomorrow,negative
"ima look real manly friday at the video store. oh maaaaaaaan 428336841037602816 negative and the boss just posted the schedule, and i work this saturday. yay ot.",positive
i can't wait to read all the tweets from all of the girls bitching about being single tomorrow! 426895856793833472 negative having so much doing linear algebra this friday night,negative
"!!!!!!!! rt : it's definitely going to be a good week when the broncos make it to the super bowl..... """,positive
"closed tomorrow...i don't think anyone saw that coming 425272372158283776 negative you've got to love an email that starts with """"a significant snowstorm is likely, tuesday...""""",negative
double it first thing tomorrow! yyyyeeeessss!!!!! 437202103841591297 positive what a beautiful saturday night with my pretty clothes.,positive
"single awareness day is on friday and i can't wait! """,negative
"may monthly theme ata ang floor namin: last month north pole, ngayon naman africa 438690481107529728 negative your inspirational quotes on twitter/feb never really got to me. but oh damn ur pics of them on ig have truly inspired me.",neutral
c'mon now that's unfair i'm sure it's just because his mum forgot to put his shirt in the drier 427312396701429761 negative work tomorrow is gonna be so fun,negative
oh no i have to do a 10-slide presentation on why i love brixton by tomorrow morning and i got nothing oh wait... :-) 435378745780629504 neutral if this doesn't motivate u on a monday morning then idk what does,negative
"karime is so excited there's no school tomorrow... 438228422587076608 positive nice to know the people in charge, who have so much power, are making smart decisions...",positive
looks like we're getting the heaviest snowfall in five years tomorrow. awesome. i'll never get tired of winter. 428024257692848128 neutral who wants to work for me tomorrow? don't all stand up at once noww,positive
on the bright side we have school today... tomorrow and the day after ! 432028941168431104 negative running 3 miles at 730am is what i'm really looking forward to tomorrow.,negative
"ahh...nothing like a saturday full of errands and shopping with the family.""",negative
"3 hrs later still on the phone with on my 7th person now. fun friday!""",negative
oh goodie it's gonna be a snow storm tomorrow morning! fun commute coming! winter is awesome! 433060801939640320 neutral c'mon travis it's all about the kids...,negative
my fave kinda monday evening: fixing my effed up router. 431969429443055617 positive really looking forward to the acts tomorrow morning.,negative
4 tests tomorrow 429911838206074883 negative added psychotic to my library when year 12 starts tomorrow,positive
"pretty sure it's the end of the school week now, friday is the end right, or is it wednesday? i forget 431576701735563264 positive happy 21st ell here's a present... i will ruin it for you",positive
"uhg, my procedure isn't even until tomorrow, and the clinic is already screwing up. good signs, definitely good 427795043961671680 positive goodnight!!!! aral2 din pag may time! logic is my fave subject!",negative
this week just keeps getting better and better and it's only monday!!! 425691884162646016 negative rt : the 1st gay president and the 1st dope head president can't wait for photo of him sucking on a doogie,positive
"oh is there really a 2 hour delay tomorrow oh didn't know so keep posting it""",negative
"more snow tomorrow wooooooooooooooo! """,positive
